GEO_ID,Geography,Homeownership%,MedianIncome,LargeHH%,OldHouse%
860Z200US02492,ZCTA5 02492,0.854,222063.0,0.304,0.829
860Z200US02494,ZCTA5 02494,0.63,173750.0,0.357,0.666
860Z200US02532,ZCTA5 02532,0.746,89411.0,0.533,0.574
860Z200US02535,ZCTA5 02535,0.978,144833.0,0.397,0.576
860Z200US02536,ZCTA5 02536,0.928,95295.0,0.423,0.532
860Z200US02537,ZCTA5 02537,0.961,131150.0,0.333,0.713
860Z200US02539,ZCTA5 02539,0.893,89710.0,0.441,0.669
860Z200US02540,ZCTA5 02540,0.645,88266.0,0.61,0.514
860Z200US02554,ZCTA5 02554,0.816,125524.0,0.422,0.587
860Z200US02556,ZCTA5 02556,0.917,133929.0,0.512,0.554
860Z200US02557,ZCTA5 02557,0.82,95287.0,0.465,0.555
860Z200US02559,ZCTA5 02559,0.87,88698.0,0.647,0.661
860Z200US02562,ZCTA5 02562,0.879,141324.0,0.375,0.531
860Z200US02563,ZCTA5 02563,0.884,117558.0,0.354,0.608
860Z200US02568,ZCTA5 02568,0.829,93615.0,0.571,0.573
860Z200US02575,ZCTA5 02575,1.0,181304.0,0.257,0.642
860Z200US02630,ZCTA5 02630,0.902,137875.0,0.33,0.793
860Z200US02631,ZCTA5 02631,0.758,93427.0,0.385,0.538
860Z200US02632,ZCTA5 02632,0.908,121295.0,0.335,0.65
860Z200US02633,ZCTA5 02633,0.902,94036.0,0.464,0.599
860Z200US02635,ZCTA5 02635,1.0,118295.0,0.518,0.655
860Z200US02637,ZCTA5 02637,1.0,218165.0,0.335,0.543
860Z200US02638,ZCTA5 02638,0.884,117619.0,0.454,0.705
860Z200US02644,ZCTA5 02644,0.947,105000.0,0.43,0.601
860Z200US02645,ZCTA5 02645,0.932,89898.0,0.431,0.604
860Z200US02648,ZCTA5 02648,0.979,131125.0,0.303,0.658
860Z200US02649,ZCTA5 02649,0.722,95852.0,0.464,0.538
860Z200US02653,ZCTA5 02653,0.821,98798.0,0.508,0.634
860Z200US02655,ZCTA5 02655,0.927,100927.0,0.541,0.735
860Z200US02659,ZCTA5 02659,0.912,87368.0,0.602,0.531
860Z200US02660,ZCTA5 02660,0.821,91449.0,0.522,0.564
860Z200US02664,ZCTA5 02664,0.792,78796.0,0.606,0.511
860Z200US02666,ZCTA5 02666,0.958,111344.0,0.713,0.673
860Z200US02667,ZCTA5 02667,0.888,115469.0,0.509,0.552
860Z200US02668,ZCTA5 02668,0.952,108042.0,0.413,0.798
860Z200US02671,ZCTA5 02671,0.757,101917.0,0.415,0.686
860Z200US02675,ZCTA5 02675,0.809,111555.0,0.448,0.675
860Z200US02702,ZCTA5 02702,0.893,145324.0,0.267,0.6
860Z200US02713,ZCTA5 02713,0.88,78750.0,0.778,0.588
860Z200US02725,ZCTA5 02725,0.786,127228.0,0.319,0.707
860Z200US02726,ZCTA5 02726,0.822,110427.0,0.373,0.59
860Z200US02738,ZCTA5 02738,0.964,120227.0,0.363,0.679
860Z200US02739,ZCTA5 02739,0.866,117308.0,0.464,0.657
860Z200US02743,ZCTA5 02743,0.865,90683.0,0.371,0.614
860Z200US02747,ZCTA5 02747,0.758,97665.0,0.448,0.547
860Z200US02748,ZCTA5 02748,0.771,105455.0,0.446,0.638
860Z200US02766,ZCTA5 02766,0.689,127404.0,0.365,0.665
860Z200US02767,ZCTA5 02767,0.655,119550.0,0.432,0.544
860Z200US02769,ZCTA5 02769,0.906,126161.0,0.252,0.679
860Z200US02770,ZCTA5 02770,0.942,119164.0,0.298,0.648
860Z200US02771,ZCTA5 02771,0.832,116310.0,0.344,0.621
860Z200US02777,ZCTA5 02777,0.919,116627.0,0.383,0.63
860Z200US02790,ZCTA5 02790,0.859,100617.0,0.348,0.554
